military_occupation_id,job_code,preparation_needed,match_type,pay_grade
2155,49-9041.00,,crosswalk,
2157,49-9041.00,,crosswalk,
2158,29-1051.00,,crosswalk,
2159,29-1051.00,,crosswalk,
2160,29-1051.00,,crosswalk,
2161,11-2031.00,,crosswalk,
2162,11-2031.00,,crosswalk,
2162,11-9021.00,,crosswalk,
2162,49-3031.00,,crosswalk,
2163,43-3071.00,,crosswalk,
2164,11-2011.00,,crosswalk,
2164,41-3011.00,,crosswalk,
2164,27-4011.00,,crosswalk,
2164,25-9011.00,,crosswalk,
2164,27-3021.00,,crosswalk,
2164,27-4012.00,,crosswalk,
2164,49-9061.00,,crosswalk,
2164,27-4031.00,,crosswalk,
2164,27-3043.04,,crosswalk,
2164,43-9031.00,,crosswalk,
2164,27-3041.00,,crosswalk,
2164,27-4032.00,,crosswalk,
2164,51-1011.00,,crosswalk,
2164,27-1024.00,,crosswalk,
2164,13-1161.00,,crosswalk,
2164,11-2021.00,,crosswalk,
2164,13-1121.00,,crosswalk,
2164,25-2022.00,,crosswalk,
2164,39-3021.00,,crosswalk,
2164,27-4021.00,,crosswalk,
2165,49-3031.00,,crosswalk,
2166,51-8021.00,,crosswalk,
2167,11-9151.00,,crosswalk,
2168,49-2094.00,,crosswalk,
2169,29-1131.00,,crosswalk,
2170,29-1131.00,,crosswalk,
2171,29-1131.00,,crosswalk,
2175,29-1131.00,,crosswalk,
2176,29-1131.00,,crosswalk,
2177,49-9093.00,,crosswalk,
2179,19-2031.00,,crosswalk,
2181,19-1022.00,,crosswalk,
2182,19-1042.00,,crosswalk,
2184,19-1042.00,,crosswalk,
2187,29-1131.00,,crosswalk,
2191,27-2042.02,,crosswalk,
2192,23-1023.00,,crosswalk,
2192,23-1011.00,,crosswalk,
2192,51-4041.00,,crosswalk,
2193,51-4012.00,,crosswalk,
2194,23-1011.00,,crosswalk,
2194,51-4041.00,,crosswalk,
2195,23-1011.00,,crosswalk,
2196,23-1011.00,,crosswalk,
2197,23-1011.00,,crosswalk,
2204,29-1069.02,,crosswalk,
2198,29-1069.04,,crosswalk,
2199,51-4041.00,,crosswalk,
2200,27-2042.02,,crosswalk,
2201,27-2042.02,,crosswalk,
2202,29-1063.00,,crosswalk,
2203,27-2042.02,,crosswalk,
2205,51-4191.00,,crosswalk,
2206,23-1011.00,,crosswalk,
2207,43-3031.00,,crosswalk,
2208,29-1069.03,,crosswalk,
2209,27-2042.02,,crosswalk,
2210,27-2042.02,,crosswalk,
2211,23-2091.00,,crosswalk,
2212,47-2011.00,,crosswalk,
2213,49-1011.00,,crosswalk,
2214,51-8021.00,,crosswalk,
2215,49-9041.00,,crosswalk,
2216,49-9012.00,,crosswalk,
2217,49-3042.00,,crosswalk,
2218,51-4041.00,,crosswalk,
2219,29-1061.00,,crosswalk,
2220,29-1061.00,,crosswalk,
2221,29-1061.00,,crosswalk,
2222,29-1064.00,,crosswalk,
2223,27-2042.02,,crosswalk,
2224,27-2042.02,,crosswalk,
2225,29-1069.12,,crosswalk,
2226,29-1069.08,,crosswalk,
2230,11-3011.00,,crosswalk,
2231,27-1011.00,,crosswalk,
2231,27-1013.00,,crosswalk,
2232,49-2094.00,,crosswalk,
2233,49-1011.00,,crosswalk,
2234,49-9012.00,,crosswalk,
2235,43-9031.00,,crosswalk,
2235,51-5112.00,,crosswalk,
2237,11-3011.00,,crosswalk,
2238,49-2094.00,,crosswalk,
2239,49-2094.00,,crosswalk,
2240,11-3031.01,,crosswalk,
2241,29-1069.06,,crosswalk,
2242,29-1064.00,,crosswalk,
2245,11-1021.00,,crosswalk,
2245,11-3131.00,,crosswalk,
2245,47-2111.00,,crosswalk,
2246,49-2092.00,,crosswalk,
2247,47-2111.00,,crosswalk,
2248,27-4011.00,,crosswalk,
2248,49-9061.00,,crosswalk,
2248,27-4031.00,,crosswalk,
2248,27-4032.00,,crosswalk,
2248,27-4021.00,,crosswalk,
2248,51-9151.00,,crosswalk,
2248,49-2095.00,,crosswalk,
2250,29-1171.00,,crosswalk,
2251,49-2094.00,,crosswalk,
2360,29-2041.00,First term,most_duties,E3
2360,43-6013.00,First term,most_duties,E4
2360,31-1014.00,First term plus prep,most_duties,E3
2360,31-1015.00,First term plus prep,most_duties,E3
2360,29-2061.00,First term plus prep,most_duties,E4
2360,31-9092.00,First term plus prep,most_duties,E4
2360,31-9097.00,First term,some_duties,E3
2360,29-2071.00,First term plus prep,some_duties,E3
2360,21-1091.00,Long term,some_duties,E5
2360,11-9111.00,Long term,some_duties,E6
2252,27-3031.00,,crosswalk,
2253,29-1171.00,,crosswalk,
2254,11-2031.00,,crosswalk,
2255,11-3011.00,,crosswalk,
2256,29-1161.00,,crosswalk,
2258,43-9031.00,,crosswalk,
2258,27-1024.00,,crosswalk,
2258,27-1014.00,,crosswalk,
2261,49-2094.00,,crosswalk,
2262,49-2094.00,,crosswalk,
2263,49-2022.00,,crosswalk,
2266,49-2094.00,,crosswalk,
2267,49-2093.00,,crosswalk,
2268,49-2022.00,,crosswalk,
2269,49-2022.00,,crosswalk,
2270,49-2097.00,,crosswalk,
2271,49-2097.00,,crosswalk,
2272,49-2097.00,,crosswalk,
2273,47-2111.00,,crosswalk,
2274,47-2111.00,,crosswalk,
2275,49-2093.00,,crosswalk,
2277,49-2094.00,,crosswalk,
2278,49-2094.00,,crosswalk,
2279,49-2011.00,,crosswalk,
2284,49-2094.00,,crosswalk,
2285,49-2093.00,,crosswalk,
2285,49-2098.00,,crosswalk,
2532,17-2011.00,,crosswalk,
2286,25-1123.00,,crosswalk,
2288,49-1011.00,,crosswalk,
2289,53-2011.00,,crosswalk,
2290,25-1054.00,,crosswalk,
2316,11-3121.00,,crosswalk,
2363,29-9011.00,,crosswalk,
2364,35-2012.00,,crosswalk,
2293,25-1032.00,,crosswalk,
2297,49-2097.00,,crosswalk,
2298,49-2094.00,,crosswalk,
2299,49-2022.00,,crosswalk,
2300,49-1011.00,,crosswalk,
2301,41-2031.00,,crosswalk,
2305,49-2022.00,,crosswalk,
2306,49-2093.00,,crosswalk,
2309,49-2093.00,,crosswalk,
2310,49-2093.00,,crosswalk,
2311,49-2094.00,,crosswalk,
2314,49-2022.00,,crosswalk,
2315,49-2022.00,,crosswalk,
2359,31-9092.00,,crosswalk,
2320,19-3094.00,,crosswalk,
2321,19-3094.00,,crosswalk,
2322,19-3094.00,,crosswalk,
2361,29-2031.00,,crosswalk,
2365,29-9012.00,,crosswalk,
2366,31-9092.00,,crosswalk,
2531,13-1081.00,,crosswalk,
2331,19-3094.00,,crosswalk,
2332,51-2041.00,,crosswalk,
2362,29-2041.00,First term,most_duties,E3
2362,43-6013.00,First term,most_duties,E4
2362,31-1014.00,First term plus prep,most_duties,E3
2362,31-1015.00,First term plus prep,most_duties,E3
2362,29-2061.00,First term plus prep,most_duties,E4
2362,31-9092.00,First term plus prep,most_duties,E4
2362,31-9097.00,First term,some_duties,E3
2362,29-2071.00,First term plus prep,some_duties,E3
2362,21-1091.00,Long term,some_duties,E5
2362,11-9111.00,Long term,some_duties,E6
2333,27-2042.02,,crosswalk,
2334,29-9011.00,,crosswalk,
2335,49-9062.00,,crosswalk,
2337,13-1111.00,,crosswalk,
2338,15-2031.00,,crosswalk,
2339,29-9011.00,,crosswalk,
2340,51-4192.00,,crosswalk,
2340,51-2041.00,,crosswalk,
2341,29-9011.00,,crosswalk,
2342,29-9011.00,,crosswalk,
2343,11-3071.02,,crosswalk,
2344,47-2152.01,,crosswalk,
2344,51-2041.00,,crosswalk,
2345,17-3029.01,,crosswalk,
2346,13-1111.00,,crosswalk,
2347,35-2012.00,,crosswalk,
2348,35-2012.00,,crosswalk,
2349,35-1012.00,,crosswalk,
2350,29-9012.00,,crosswalk,
2351,35-2012.00,,crosswalk,
2352,29-9012.00,,crosswalk,
2353,29-9011.00,,crosswalk,
2354,31-9092.00,,crosswalk,
2355,29-9012.00,,crosswalk,
2356,31-9092.00,,crosswalk,
2357,31-9092.00,,crosswalk,
2358,29-2041.00,,crosswalk,
2367,31-2011.00,,crosswalk,
2368,31-2021.00,,crosswalk,
2369,31-2021.00,,crosswalk,
2370,29-2031.00,,crosswalk,
2371,31-2021.00,,crosswalk,
2373,29-2055.00,,crosswalk,
2374,29-2055.00,,crosswalk,
2375,29-2055.00,,crosswalk,
2376,29-2055.00,,crosswalk,
2377,29-2055.00,,crosswalk,
2378,29-2032.00,,crosswalk,
2378,29-2034.00,,crosswalk,
2379,29-2034.00,,crosswalk,
2380,29-2032.00,,crosswalk,
2381,29-2055.00,,crosswalk,
2382,29-2055.00,,crosswalk,
2383,29-2055.00,,crosswalk,
2384,29-2011.00,,crosswalk,
2385,29-2034.00,,crosswalk,
2386,29-2032.00,,crosswalk,
2386,29-2033.00,,crosswalk,
2386,29-2034.00,,crosswalk,
2387,29-2011.00,,crosswalk,
2388,29-2011.02,,crosswalk,
2389,29-2011.02,,crosswalk,
2390,29-2055.00,,crosswalk,
2391,29-2055.00,,crosswalk,
2392,29-2055.00,,crosswalk,
2393,29-2055.00,,crosswalk,
2394,29-2055.00,,crosswalk,
2395,29-2055.00,,crosswalk,
2396,29-2034.00,,crosswalk,
2397,29-2034.00,,crosswalk,
2398,29-2032.00,,crosswalk,
