skill_name,skill_id,belongs_to,source
- Trained OEM rep on acft air/pwr cart acceptance insp; id'd 67 factory defects--vital to JSF SE prgm cross-tell,46597,46597,manual
- Trained seven Amn on AGE dispatch procedures; boosted qualified drivers 30% for critical 24/7 flightline ops,19964,19964,manual
- Trained six Amn proper LOX/GOX towing procedures; slashed unsafe asphalt parking conditions,23564,23564,manual
- Weapons Manufacturing and Testing,42459,42459,manual
- Works well alone or with others,43511,43511,manual
- assisted incoming TSCM Special Agent on the application of TSCM school fundamentals during CONUS and OCONUS investigations resulting in first time go on written test.,44870,44870,manual
"- assisted the office Special Security Representative (SSR) during the SCIF final accreditation approval by  installing physical, technical security devices and countermeasures.",23927,23927,manual
- awarded the Department of Defense Counterintelligence Award during the mission of protecting national defense information from foreign intelligence entities using multidiscipline approach - conducted two technical penetration investigation resulted in executive level technical security awareness and technical security procedural changes.,34840,34840,manual
- completed the Army G2X TSCM Special Agent Program written test and hands on certification with a first time attempt in May 2013.,13731,13731,manual
"- conducted a total of 40 TSCM investigations which includes one technical hazard and  identifying 119 technical security vulnerabilities enhancing the overall technical security posture for USARPAC, USARJ, MDA and 500th MI BDE.",22416,22416,manual
"- executed successful and cost effective TSCM mission, to include prioritizing, coordination, scheduling, and preparation of investigative plans.",27950,27950,manual
- maintained 100% accountability of commercial of the shelf (COTS) equipments valued in excess of $3 million dollars,16369,16369,manual
"- managed the daily operations of the Technical Security office which include but not limited to adhere to SCIF policies and procedures, process visit requests and visitors clearance verifications.",28873,28873,manual
"- provided highest level of technical security support to Secretary of Defense, Secretary of the Army, Chief of Staff of Army and USARPAC Commanding General increasing the security posture of the facility/working environment resulting in receiving a coin from the Chief of Staff of Army during the Pacific Armies Conference on numerous occasions.",24017,24017,manual
"- responsible for systems maintenance, hardware upgrades, software updates, and troubleshooting of Intelligence Property Book equipments.",21114,21114,manual
"- trained newly assigned Technical Security Agents on planning, organization and coordination for Senior Official Travel support for 36 countries in the Pacific Area of Responsibilities.",19959,19959,manual
-Brown Belt Qualified through the Marine Corps Martial Arts Program.,22304,22304,manual
"-Combat Water Survival Qualified, Class 2",12631,12631,manual
-Excellent written and verbal communication skills,9402,9402,manual
-IT software experience-  BMC Remedy IT Service Management. SCCM Client Center SAP BusinessObjects InfoView Lotus Notes 8.5 SharePoint 2013 Microsoft Office 2010,26560,26560,manual
-Operate well under stressful environments.,11677,11677,manual
"-Organizational ability to handle multiple projects, prioritize and meet deadlines -Attention to detail",30154,30154,manual
-Seven years of customer service experience,23787,23787,manual
-Three combat operations deployments.,16894,16894,manual
-Trained in weapons handling and firing modern automatic weapons to small arms.,30259,30259,manual
"-Utilizes maintenance and logistics information systems including ES-S, WebFliss, DoD EMALL, LIMS-EV, IMDS, and others to track MICAPs, backorders, and logistics requirements for 4 operational missile wings",42475,42475,manual
"-Work great with people, team player, self-starter and motivator",45241,45241,manual
.,18655,18655,manual
".  I retired from active duty in 2008 as Chief Warrant Officer in the U.S. Coast Guard, with 27 years of military service.  I have extensive skills in Food Service Management, Food Safety, Logistics Management, Transportation, Human Resource and Customer Service",37735,37735,manual
.NET,85293,85293,linkedin
.NET CLR,57232,57232,linkedin
.NET Compact Framework,80197,80197,linkedin
.NET Framework,11679,11679,manual
.NET Framework 4.5,20897,20897,manual
.NET Remoting,74069,74069,linkedin
.Net,22089,22089,manual
.com,56669,56669,linkedin
.htaccess,47499,47499,linkedin
.net,40095,40095,manual
.net Programming,34279,34279,manual
0-in,62259,62259,linkedin
0131 Unit Diary Clerk,40092,40092,manual
1,7568,7568,manual
1 Week of Army HAZMAT,20336,20336,manual
1 Year experience working help desk for approx. 1500+ users,18132,18132,manual
1 year experience as a shift supervisor,11121,11121,manual
1 year forklift exp. 15 years administration exp,46365,46365,manual
1-4 Units,81793,81793,linkedin
1-Wire,60765,60765,linkedin
1-to-1 Marketing,48973,48973,linkedin
1.General Maintenance and maintaining work orders.,26390,26390,manual
10 & 30 hr General Industry OSHA CERTIFIED,24432,24432,manual
10 Key,80550,80550,linkedin
10 Key Touch,54322,54322,linkedin
10 Key by Touch,24331,24331,manual
"10 Key by touch, type 50 wpm and familiar with office equipment",21709,21709,manual
10 Years Experienced Engineer,16470,16470,manual
10 as an aerospace technician/mechanic,16972,16972,manual
"10 key, 55+WPM, copy, fax, scanner, printer",40872,40872,manual
10 plus years of customer service,41088,41088,manual
10 ton+ vechile operator,12599,12599,manual
10 years Experience as a Criminal Analyst with Texas Department Criminal Investigations,33926,33926,manual
10 years acquisition and contracting experience,14763,14763,manual
"10 years experience in policy research, interpretation, development, implementation, and evaluation.",18631,18631,manual
10 years of Law enforcement,16331,16331,manual
10 years of experience in all-source intelligence analysis,23645,23645,manual
10 years of extensive management and logistic support service .,34367,34367,manual
10 years of management,39758,39758,manual
10 years of supervisory experience,25294,25294,manual
10+ year utilizing Microsoft Office Products,31952,31952,manual
10+ years as an Airframes/Sheet Metal Mechanic,26135,26135,manual
10+ years of Quality assurance experience in both domestic and international environments,24982,24982,manual
10+ years of experience in administration,16109,16109,manual
10+ years of security,28109,28109,manual
10+ years supervisory experience managing multiple work centers,15226,15226,manual
10+ years work experience in Purchasing/Supply Chain,16360,16360,manual
"10,000 lbs Forklift and Below Experienced",38443,38443,manual
10-Key By Touch,26685,26685,manual
10-Key Calculator,35078,35078,manual
10-key,5707,5707,bayes
"10-key 13,000 sph",39360,39360,manual
10-key calculator by touch,29647,29647,manual
"10-key,  keyboarding, copying machines, faxes, mails delivery system",32632,32632,manual
"10-key, 45 WPM Typing",19303,19303,manual
100 Ton Master's License with Towing,33125,33125,manual
100 WPM,18291,18291,manual
100 ton Coast Guard captain (expired),29533,29533,manual
1000 combat hours,21081,21081,manual
1000+ hours of mission coordination in flight operations and planning,37335,37335,manual
1031 Exchanges,59637,59637,linkedin
1099 Preparation,68738,68738,linkedin
10G Ethernet,84884,84884,linkedin
10K,70492,70492,linkedin
10K Fork lift,29921,29921,manual
10K Forklift,15412,15412,manual
10Q,74347,74347,linkedin
10b5-1 Plans,54815,54815,linkedin
10gAS,64908,64908,linkedin
10gR2,56129,56129,linkedin
10k fork lift operator,11565,11565,manual
"11 B Infantry, Lead and trained soldiers in combat and Garrison.",29688,29688,manual
"11 Years of Military Support, enforcing Military Standards and Specifications",42756,42756,manual
"11 years at Contruction Superivory Positions pertaining to Blue Prints, Metal stud framing, Drywall instalation, Finishing and Painting.",44078,44078,manual
11 years of project management experience,19134,19134,manual
1120S,61928,61928,linkedin
11gR1,71280,71280,linkedin
11gR2,70481,70481,linkedin
